Constant,Recipe
T6_POTION_GATHER,"[('T6_BUTTER', 48), ('T6_FOXGLOVE', 24), ('T5_TEASEL', 12), ('T5_ALCHEMY_RARE_ELEMENTAL', 1)]"
T6_POTION_LAVA,"[('T6_MILK', 48), ('T6_FOXGLOVE', 24), ('T3_EGG', 12), ('T5_ALCHEMY_RARE_IMP', 1)]"
T6_POTION_TORNADO,"[('T6_FOXGLOVE', 48), ('T5_TEASEL', 24), ('T3_EGG', 12), ('T5_ALCHEMY_RARE_EAGLE', 1)]"
T7_POTION_REVIVE,"[('T7_MULLEIN', 72), ('T6_FOXGLOVE', 36), ('T5_EGG', 18), ('T7_CORN', 18)]"
T7_POTION_STONESKIN,"[('T7_MULLEIN', 72), ('T6_FOXGLOVE', 36), ('T4_BURDOCK', 36), ('T6_MILK', 18), ('T7_CORN', 18)]"
T7_POTION_SLOWFIELD,"[('T7_MULLEIN', 72), ('T6_FOXGLOVE', 36), ('T4_BURDOCK', 36), ('T5_EGG', 18), ('T7_CORN', 18)]"
T7_POTION_ACID,"[('T7_MULLEIN', 144), ('T6_FOXGLOVE', 72), ('T6_POTATO', 72), ('T6_MILK', 36), ('T7_CORN', 36), ('T7_ALCHEMY_RARE_DIREBEAR', 1)]"
T7_POTION_MOB_RESET,"[('T7_MULLEIN', 144), ('T6_FOXGLOVE', 72), ('T3_COMFREY', 72), ('T2_AGARIC', 36), ('T7_CORN', 36), ('T7_ALCHEMY_RARE_PANTHER', 1)]"
T7_POTION_CLEANSE2,"[('T7_MULLEIN', 144), ('T4_BURDOCK', 72), ('T3_COMFREY', 72), ('T6_BUTTER', 36), ('T7_CORN', 36), ('T7_ALCHEMY_RARE_ENT', 1)]"
T8_POTION_BERSERK,"[('T8_YARROW', 144), ('T3_COMFREY', 72), ('T6_POTATO', 72), ('T7_CORN', 36), ('T8_PUMPKIN', 36), ('T7_ALCHEMY_RARE_WEREWOLF', 1)]"
T8_POTION_CLEANSE,"[('T8_YARROW', 72), ('T7_MULLEIN', 36), ('T5_TEASEL', 36), ('T8_MILK', 18), ('T8_PUMPKIN', 18)]"
T8_POTION_COOLDOWN,"[('T8_YARROW', 72), ('T7_MULLEIN', 36), ('T5_TEASEL', 36), ('T8_MILK', 18), ('T8_PUMPKIN', 18)]"
T8_POTION_GATHER,"[('T8_BUTTER', 144), ('T8_YARROW', 72), ('T7_MULLEIN', 72), ('T6_FOXGLOVE', 36), ('T8_PUMPKIN', 36), ('T7_ALCHEMY_RARE_ELEMENTAL', 1)]"
T8_POTION_LAVA,"[('T8_MILK', 144), ('T8_YARROW', 72), ('T7_MULLEIN', 72), ('T5_EGG', 36), ('T8_PUMPKIN', 36), ('T7_ALCHEMY_RARE_IMP', 1)]"
T8_POTION_TORNADO,"[('T8_YARROW', 144), ('T7_MULLEIN', 72), ('T7_CORN', 72), ('T5_EGG', 36), ('T8_PUMPKIN', 36), ('T7_ALCHEMY_RARE_EAGLE', 1)]"
